Dealer,Invoice No,Date,Billed To,No. of Items,Total Qty (pcs),Taxable Value,GST,Grand Total,Notes
S.S.B. Pharmaceutical,S000092,4/10/2026,BK Aditya Multispeciality Hospital,,,11840,592,12432,
S.S.B. Pharmaceutical,S000092,4/12/2026,BK Aditya Multispeciality Hospital,15,64,3343.83,178.24,3522,
S.S.B. Pharmaceutical,S000135,4/18/2026,BK Aditya Multispeciality Hospital,41,216,16996.03,849.86,17846,3-page invoice
,S000197,,,,,,,14813,
S.S.B. Pharmaceutical,S000293,5/6/2026,BK Aditya Multispeciality Hospital,13,155,2876,143.68,3017,
S.S.B. Pharmaceutical,S000399,5/18/2026,BK Aditya Multispeciality Hospital,9,140,1286.82,64.34,1351,
S.S.B. Pharmaceutical,S000400,5/18/2026,BK Aditya Multispeciality Hospital,10,166,2186.64,109.36,2296,
,S000503,,,,,,,4680,
,S000609,,,,,,,18532,
S.S.B. Pharmaceutical,S000645,6/11/2026,BK Aditya Multispeciality Hospital,23,435,6954.85,359.84,7315,2-page invoice
S.S.B. Pharmaceutical,S000670,6/13/2026,BK Aditya Multispeciality Hospital,15,236,14672.67,733.7,15406,
S.S.B. Pharmaceutical,S000688,6/15/2026,BK Aditya Multispeciality Hospital,8,337,4672.33,233.64,4906,
Vivekananda Medical Distributors,F/684,5/1/2026,CLD Surgical,9,26,2513.5,125.7,2639,
Vivekananda Medical Distributors,F/685,5/1/2026,CLD Surgical,2,2,260,13,273,
Vivekananda Medical Distributors,F/747,5/3/2026,CLD Surgical,10,730,9192.7,459.64,9652,
Vivekananda Medical Distributors,F/748,5/3/2026,CLD Surgical,6,219,5059.5,252.98,5312,
Vivekananda Medical Distributors,F/897,5/11/2026,CLD Surgical,3,15,547.5,27.38,575,
Vivekananda Medical Distributors,F/1180,5/20/2026,CLD Surgical,7,29,1411,70.58,1482,
Vivekananda Medical Distributors,F/1214,5/21/2026,CLD Surgical,2,11,1025,51.26,1076,
Vivekananda Medical Distributors,F/1676,6/8/2026,CLD Surgical,3,,1558,77.9,1635.9,
Vivekananda Medical Distributors,F/1693,6/9/2026,CLD Surgical,1,1,809.52,40.48,850,
Vivekananda Medical Distributors,F/1737,6/10/2026,CLD Surgical,1,2,1619.04,80.96,1700,
M.R. Pharmaceutical,MR000352,5/21/2026,CLD Surgical,4,55,5854.05,292.72,6147,
M.R. Pharmaceutical,MR000490,6/9/2026,CLD Surgical,1,5,2440,122,2562,
M.R. Pharmaceutical,MR000502,6/10/2026,CLD Surgical,6,,2039.4,102,2141,
M.R. Pharmaceutical,MR000519,6/12/2026,CLD Surgical,7,,5659.7,282.98,5943,
M.R. Pharmaceutical,MR000539,6/15/2026,CLD Surgical,8,,3472.22,173.64,3646,
M.R. Pharmaceutical,MR000553,6/16/2026,CLD Surgical,5,17,1541.6,77.08,1619,
M.R. Pharmaceutical,MR000578,6/19/2026,CLD Surgical,1,15,1288.5,64.42,1353,
M.R. Pharmaceutical,MR000604,6/23/2026,CLD Surgical,4,92,5136.8,256.84,5394,
M.R. Pharmaceutical,MR000659,6/30/2026,CLD Surgical,24,,8931.64,446.64,9378,
M.R. Pharmaceutical,MR000684,7/4/2026,CLD Surgical,6,90,4371.75,218.6,4590,
M.R. Pharmaceutical,MR000712,7/7/2026,Heartbeat Lifecare,1,40,996.4,49.82,1046,
M.R. Pharmaceutical,MR000718,7/8/2026,CLD Surgical,1,30,1050,52.5,1103,
M.R. Pharmaceutical,MR000731,7/10/2026,CLD Surgical,3,30,320,16.02,336,
M.R. Pharmaceutical,MR000753,7/13/2026,CLD Surgical,10,330,8214.5,410.76,8625,
M.R. Pharmaceutical,MR000816,7/21/2026,CLD Surgical,8,,2754.78,137.74,2893,
M.R. Pharmaceutical,MR000842,7/24/2026,CLD Surgical,8,,941,47.05,988.05,
B.P. Pharma,234,6/8/2026,Govt of West Bengal (Cash),3,8,1313.62,65.68,1379,
B.P. Pharma,236,6/9/2026,Govt of West Bengal,19,,17113.49,855.68,17969,
B.P. Pharma,248,6/11/2026,CLD Surgical,3,40,1832.5,91.62,1924,
B.P. Pharma,266,6/15/2026,CLD Surgical,6,,4755.59,237.8,4993,
B.P. Pharma,270,6/16/2026,CLD Surgical,8,,10970.18,548.52,11519,
B.P. Pharma,288,6/21/2026,CLD Surgical,14,,11772.62,693.94,12467,
B.P. Pharma,294,6/25/2026,CLD Surgical,1,24,876.72,43.84,921,
B.P. Pharma,302,6/26/2026,CLD Surgical,1,12,14366.88,718.34,15085,SURGICEL 2x3
B.P. Pharma,307,6/29/2026,CLD Surgical,14,,7154.12,357.72,7512,
B.P. Pharma,310,6/30/2026,CLD Surgical,1,1,2001.6,100.08,2102,
B.P. Pharma,316,7/2/2026,CLD Surgical,1,,3998.4,199.92,4198,
