Dealer,Invoice No,Date,Product,Batch,Expiry,HSN,MRP,Rate,Qty,Amount
S.S.B. Pharmaceutical,S000092,4/12/2026,Mezolam 5ML,V304583,27-Feb,30049099,31.03,23.81,5,119.05
S.S.B. Pharmaceutical,S000092,4/12/2026,Termin 10ML,V307271,28-Nov,30041020,390.4,304.76,5,1523.8
S.S.B. Pharmaceutical,S000092,4/12/2026,Pyrolate,KP1254170,28-Sep,30049074,15.37,11.24,5,56.2
S.S.B. Pharmaceutical,S000092,4/12/2026,Tetanus Toxid 5ML (Dano),2531V,28-Aug,30022016,27.27,24.86,5,124.3
S.S.B. Pharmaceutical,S000092,4/12/2026,Formaline 450ML,34,,12119099,90,42.37,2,84.74
S.S.B. Pharmaceutical,S000092,4/12/2026,Artacil 25 MG,1303350,27-Jun,30042031,45.3,36.19,5,180.95
S.S.B. Pharmaceutical,S000092,4/12/2026,Anawin Heavy 4ML,KP1713909,27-Nov,30039034,31.47,24.76,5,123.8
S.S.B. Pharmaceutical,S000092,4/12/2026,Feedy 6FR,G24G011261,29-Jun,90192090,57.19,11.43,9,102.87
S.S.B. Pharmaceutical,S000092,4/12/2026,Feedy 6FR,G25B010948,30-Jan,90192090,60,11.43,1,11.43
S.S.B. Pharmaceutical,S000092,4/12/2026,Spinocan Needle 25G,24G21G8220,29-Jul,9018,153,74.29,5,371.45
S.S.B. Pharmaceutical,S000092,4/12/2026,Kenadion 1MG,IPMDA2415A,26-Oct,30049015,17.58,11.9,5,59.5
S.S.B. Pharmaceutical,S000092,4/12/2026,Kenadion 10MG,IPMDBK504,27-Jun,30049011,56.68,38.1,5,190.5
S.S.B. Pharmaceutical,S000092,4/12/2026,Dispo Niddle 24G,48522R,30-Oct,90183990,266,76.19,1,76.19
S.S.B. Pharmaceutical,S000092,4/12/2026,Pause Ing 5ML,ELF8AT4013,27-Aug,30043110,71.97,47.62,5,238.1
S.S.B. Pharmaceutical,S000092,4/12/2026,Dispo Niddle 26G,06542R,30-Jan,30041020,243.75,80.95,1,80.95
S.S.B. Pharmaceutical,S000135,4/18/2026,MEM Inj,39255,27-Apr,30041060,15.9,11.71,5,58.55
S.S.B. Pharmaceutical,S000135,4/18/2026,Justin AQ Inj,BDW20A1A,27-Aug,30042031,23.8,8.57,5,42.85
S.S.B. Pharmaceutical,S000135,4/18/2026,Lablol Inj,388090,27-Jan,30049074,209.53,76.19,6,457.14
S.S.B. Pharmaceutical,S000135,4/18/2026,Vanking 500MG,345204,27-Jan,30042096,333.4,100,5,500
S.S.B. Pharmaceutical,S000135,4/18/2026,Neovac,386427,27-Jul,3004,124.85,100,2,200
S.S.B. Pharmaceutical,S000135,4/18/2026,Supridol 50MG,KP1287040,27-Sep,30049099,12.56,4.76,10,47.6
S.S.B. Pharmaceutical,S000135,4/18/2026,Nachpin Inj 10MG/1ML,1238074,26-Oct,3004,64.51,49.52,5,247.6
S.S.B. Pharmaceutical,S000135,4/18/2026,Sodac,UN1072042,27-Jun,30042095,35.75,26.67,5,133.35
S.S.B. Pharmaceutical,S000135,4/18/2026,BT Set Romson,G26A020435,30-Dec,90183990,208,17.14,5,85.7
S.S.B. Pharmaceutical,S000135,4/18/2026,Haemaccel Inj,HMA25032,28-Mar,30041020,579.58,441.58,3,1324.74
S.S.B. Pharmaceutical,S000135,4/18/2026,BD Syringe 2ML,4302418,29-Oct,30041020,0,3.81,10,38.1
S.S.B. Pharmaceutical,S000135,4/18/2026,3336 TFP/76 CM,C250693,30-Oct,30041050,277,49.52,5,247.6
S.S.B. Pharmaceutical,S000135,4/18/2026,9133H,TLMBBD,28-Sep,90192090,907.5,571.43,5,2857.15
S.S.B. Pharmaceutical,S000135,4/18/2026,9237P,T3004,28-Apr,90192090,931.88,571.43,5,2857.15
S.S.B. Pharmaceutical,S000135,4/18/2026,822 Aqsilk Reels,SR220502,27-Apr,30061010,684,190.48,5,952.4
S.S.B. Pharmaceutical,S000135,4/18/2026,823 (AQME),SR240101,29-Dec,30061010,752,238.1,4,952.4
S.S.B. Pharmaceutical,S000135,4/18/2026,823 (AQME),SR231001,28-Sep,30061010,730,238.1,1,238.1
S.S.B. Pharmaceutical,S000135,4/18/2026,843/70CM PCS,250089,Feb-30,30049095,448.13,142.86,5,714.3
S.S.B. Pharmaceutical,S000135,4/18/2026,NS 300ML (BSKRPL),SIL5I513,27-Jul,30049088,698.44,133.33,5,666.65
S.S.B. Pharmaceutical,S000135,4/18/2026,Iofluid 300ML (KRPL),LIP49001,26-Sep,30041030,514.6,95.24,5,476.2
S.S.B. Pharmaceutical,S000135,4/18/2026,Ifomol IV 100ML,3837955,27-Aug,30049047,538,42.86,5,214.3
S.S.B. Pharmaceutical,S000135,4/18/2026,Cort5,V4471731,27-Nov,30041050,47.7,19.05,5,95.25
S.S.B. Pharmaceutical,S000135,4/18/2026,Xone 1G Inj,25181037,28-Oct,30041020,66.64,25.71,5,128.55
S.S.B. Pharmaceutical,S000135,4/18/2026,Pandiff-IV,AQU0028,27-Mar,30041060,53.89,14.29,5,71.45
S.S.B. Pharmaceutical,S000135,4/18/2026,Rantac Inj 2ML,XIR225024,27-Jun,3004,7.48,4.29,10,42.9
S.S.B. Pharmaceutical,S000135,4/18/2026,Reorof 10ML,NA338066,27-Sep,30039034,69.1,42.86,4,171.44
S.S.B. Pharmaceutical,S000135,4/18/2026,Ondem Inj,OND25321SR,27-Oct,30041030,12.72,9.7,5,48.5
S.S.B. Pharmaceutical,S000135,4/18/2026,Artacil 25 MG,130334,27-Mar,30042031,45.33,36.19,5,180.95
S.S.B. Pharmaceutical,S000135,4/18/2026,Genticyn 80Inj,NCLU0132,27-May,30022031,10.35,7.89,5,39.45
S.S.B. Pharmaceutical,S000135,4/18/2026,Sucol,248220,26-Dec,3004,53.64,43.81,5,219.05
S.S.B. Pharmaceutical,S000135,4/18/2026,Avil Inj 1ML Vial,12212S106,28-Jul,30041020,22.01,17.61,5,88.05
S.S.B. Pharmaceutical,S000135,4/18/2026,Vasocon 1ML,K78S428,26-Oct,30049081,32.9,10,5,50
S.S.B. Pharmaceutical,S000135,4/18/2026,Nitro Plus 25,1431160,27-May,30042033,24.76,10.5,5,52.5
S.S.B. Pharmaceutical,S000135,4/18/2026,Phenergam 2ML,NCLU0230,28-Sep,30039090,16.72,12.74,5,63.7
S.S.B. Pharmaceutical,S000135,4/18/2026,Dexona Inj 2ML,VB00005A,27-Jun,3004,10.87,8.28,8,66.24
S.S.B. Pharmaceutical,S000135,4/18/2026,Magneon 2ML,SM570008,27-Oct,30049094,10.36,8.57,5,42.85
S.S.B. Pharmaceutical,S000135,4/18/2026,AM 841 Aqlene 2/0,DPP250801,30-Jul,9619,452,142.86,5,714.3
S.S.B. Pharmaceutical,S000135,4/18/2026,AM 825,PP250712,30-Jun,30061010,431.25,142.86,5,714.3
S.S.B. Pharmaceutical,S000135,4/18/2026,AM 3328 3/0 Monofilament,DPA250908,30-Aug,9018,245,42.86,5,214.3
S.S.B. Pharmaceutical,S000135,4/18/2026,2346 Petcryl Size-1/0,23S1698,27-Jul,30041020,585.94,123.81,3,371.43
S.S.B. Pharmaceutical,S000135,4/18/2026,4241 Progut Atraumatic 2/0,24S2160,28-Sep,90183990,186.56,57.14,5,285.7
S.S.B. Pharmaceutical,S000293,5/6/2026,Xone 1G Inj,25181037,28-Oct,30041020,66.64,25.71,25,642.75
S.S.B. Pharmaceutical,S000293,5/6/2026,Pipzo 4.5GM Injection (Vial),26440020,27-Dec,30041020,326.22,95.24,10,952.4
S.S.B. Pharmaceutical,S000293,5/6/2026,BD Syringe 5ML,5122576,30-Apr,30041020,19,3.62,25,90.5
S.S.B. Pharmaceutical,S000293,5/6/2026,Romojet Syringe 10ML,G25L020136,30-Nov,30039090,44.06,7.14,25,178.5
S.S.B. Pharmaceutical,S000293,5/6/2026,Easy Fix,EFME04-112,27-Oct,30049011,80.6,42.86,10,214.3
S.S.B. Pharmaceutical,S000293,5/6/2026,Neomiz,AUM18ABA,27-Nov,30041020,10.36,8.57,5,85.7
S.S.B. Pharmaceutical,S000293,5/6/2026,Magneon 2ML,SM570008,27-Oct,30041030,12.72,9.7,10,48.5
S.S.B. Pharmaceutical,S000293,5/6/2026,Ondem Inj,OND25231SR,27-Oct,30049099,12.56,4.76,10,71.4
S.S.B. Pharmaceutical,S000293,5/6/2026,Supridol 50MG,KP1287040,27-Sep,30049099,318.56,80.95,15,404.75
S.S.B. Pharmaceutical,S000293,5/6/2026,Carboprost 250 MG,97124,27-Apr,30041020,32.6,24.58,5,122.9
S.S.B. Pharmaceutical,S000293,5/6/2026,Epidosin Inj,PIGAM215,27-Oct,30049011,198,7.14,5,35.7
S.S.B. Pharmaceutical,S000293,5/6/2026,Kitkath 18G IV Cannula,443736,30-Jan,90183990,198,7.14,5,35.7
S.S.B. Pharmaceutical,S000293,5/6/2026,Kitkath 20G IV Cannula,42834G,29-Jun,30041020,,7.14,5,35.7
S.S.B. Pharmaceutical,S000399,5/18/2026,Rantac Inj 2ML,XIR225047,27-Nov,3004,7.48,4.29,15,64.35
S.S.B. Pharmaceutical,S000399,5/18/2026,Phenergan 2ML Inj,NCL0230,28-Sep,30039090,16.72,12.74,10,127.4
S.S.B. Pharmaceutical,S000399,5/18/2026,Ondem Inj,OND25321SR,27-Oct,30041030,12.72,9.7,20,97
S.S.B. Pharmaceutical,S000399,5/18/2026,Justin Inj,KM267092,27-Dec,30049069,5.41,4.29,15,64.35
S.S.B. Pharmaceutical,S000399,5/18/2026,Avil Inj,112125045,28-Jul,30049011,5.86,4.69,17,79.73
S.S.B. Pharmaceutical,S000399,5/18/2026,Avil Inj,2125035,28-Feb,30049011,5.78,4.62,3,13.86
S.S.B. Pharmaceutical,S000399,5/18/2026,Kitkath 20G IV Cannula,42834G,29-Jun,30041020,198,7.14,20,142.8
S.S.B. Pharmaceutical,S000399,5/18/2026,Romojet Syringe 2ML,G25I020348,30-Aug,30045036,10.2,2,20,40
